152,147,19
177,119,17
83,173,8
27,1029,16
112,1367,13
128,1266,14
85,1442,14
149,111,9
1460,83,20
1635,8,13
1529,19,8
759,121,19
1361,176,12
366,124,9
333,160,9
229,1612,21
336,1442,11
223,1422,13
19,1333,8
283,1413,12
360,1292,11
484,1313,23
531,1291,15
526,1469,12
401,1377,8
415,1506,15
542,1639,13
521,1526,8
360,1558,9
345,1557,8
704,1507,12
828,1305,12
891,1392,8
916,1401,10
930,1350,8
951,1352,13
816,1529,8
972,1659,11
959,1572,8
987,1541,10
890,1500,9
896,1462,11
955,1396,8
873,1621,8
971,1474,13
1107,1522,11
1121,1452,16
1095,1336,10
1052,1665,17
1009,1651,10
1191,1540,22
1123,1401,15
1297,1635,8
1327,1513,24
1248,1465,9
1248,1518,10
1488,1314,17
1517,1269,15
1529,1117,12
1451,1146,14
1586,1240,9
1637,1308,8
1422,1011,9
1371,1188,42
1237,951,8
1077,890,31
1194,867,11
1078,828,10
1375,869,9
926,855,40
933,979,16
851,1067,13
851,1212,8
869,1200,14
813,1184,14
748,948,11
730,1185,14
626,951,10
670,950,10
512,1228,11
448,1146,9
481,1181,16
442,1058,15
543,988,37
552,895,32
475,996,10
463,979,8
375,914,9
274,1170,8
192,1085,19
264,641,51
29,638,12
46,724,13
154,668,10
269,507,20
471,521,9
384,558,11
417,573,17
446,442,10
603,644,9
672,668,16
727,629,8
1022,670,10
1009,616,11
1177,566,14
1289,670,11
1433,547,17
1427,665,14
1389,382,9
1581,734,13
1613,725,14
1653,698,23
1573,699,8
1660,593,8
1634,512,31
1601,454,17
1574,516,9
1648,337,10
1112,311,144
1285,788,13
1122,1054,144
939,1254,16
903,1246,11
914,1275,13
1209,785,26
797,225,19
698,211,8
649,112,23
744,86,10
629,46,13
464,61,14
561,240,13
1439,306,13
663,350,12
410,737,15
1535,607,21
1508,495,12
1565,822,8
1601,819,8
1577,955,9
1558,935,8
323,87,8
1649,1677,8
626,1676,9
1258,748,10
118,158,8
628,186,13
1607,81,24
1517,70,9
1524,55,8
1572,213,26
1536,148,9
1677,140,13
1613,1025,10
1617,1011,8
1485,1271,9
1671,1314,8
503,378,29
497,422,25
577,496,9
755,1586,10
749,1686,8
897,1642,18
979,1498,11
1145,1449,13
943,115,23
1153,1568,13
961,1500,8
1365,495,14
768,748,19
837,666,9
911,1022,12
867,321,16
759,154,21
617,280,11
985,577,15
1024,542,11
638,1433,15
692,1360,11
623,1059,8
476,557,15
499,559,10
398,478,29
242,371,30
281,302,28
300,141,10
1267,1301,10
1281,1323,18
1610,1680,18
1565,1655,12
1120,1596,10
607,1258,8
545,1444,10
268,1213,11
21,1460,10
1427,113,24
1427,517,13
827,341,10
713,556,8
641,594,8
664,565,10
376,434,14
349,474,8
359,419,10
1476,133,24
1460,166,10
1030,75,8
1358,542,11
1348,614,13
559,669,10
615,1036,8
196,1580,11
195,1654,9
37,112,11
