152,1647,19
177,1619,17
77,936,12
78,217,15
48,486,12
140,209,10
113,1243,10
19,568,8
83,1673,8
175,696,36
149,1611,9
1422,1321,17
1368,1419,15
1603,1460,10
1616,1430,8
1446,1421,11
1460,1583,20
1635,1508,13
1529,1519,8
1592,1317,8
1056,1010,34
939,480,37
865,1154,26
764,941,19
878,756,13
956,1001,11
779,1182,11
931,1119,9
818,1002,8
824,947,8
396,638,11
99,904,12
127,1009,14
233,997,16
325,1018,10
517,843,9
572,1367,20
516,1383,15
442,1321,13
615,1303,13
687,1467,21
850,1357,14
1210,1473,31
1128,1366,11
1214,1281,35
1262,1267,12
1205,1132,9
273,1327,11
167,1441,10
208,1383,9
243,1457,8
192,1420,9
50,1348,10
49,1186,16
42,1165,8
21,1039,11
190,990,9
1516,1253,8
1567,1181,15
1594,1145,43
1437,627,60
1513,525,96
1549,628,11
1630,673,18
1630,433,18
1664,401,20
1575,127,9
1403,269,14
1436,145,12
1546,262,46
1574,337,10
1412,410,8
1485,55,9
1454,35,39
1418,79,34
1157,758,10
1301,611,9
1146,579,12
1208,452,22
1154,405,13
1332,624,14
1146,240,21
1180,163,17
1314,212,17
1061,296,9
1188,37,19
1223,21,21
932,167,18
896,22,11
823,186,12
758,193,8
743,59,8
808,347,24
822,294,22
736,392,12
812,561,8
354,312,21
335,187,12
455,148,16
464,249,9
217,254,10
24,540,10
616,184,13
655,205,9
511,64,18
474,12,8
620,1032,10
478,1177,8
543,1399,9
710,744,8
905,947,8
771,1421,12
938,1316,10
1011,1390,11
737,1252,8
1454,729,9
1683,896,16
1430,950,9
689,831,14
759,1621,19
547,590,18
404,1126,10
377,1061,10
351,1457,8
1669,1244,12
1175,121,22
1219,102,24
1133,85,14
1145,15,17
439,417,10
465,472,12
1679,1451,8
1682,1218,9
1616,1341,13
1586,1370,14
1634,1478,8
1076,1079,10
1047,1256,8
1689,954,8
1411,1073,8
1447,981,8
1613,970,9
448,1269,8
294,1238,8
463,1191,10
1532,404,16
1361,1676,12
1537,895,9
1522,45,11
1165,793,8
220,1461,13
366,1624,9
959,1068,10
661,826,10
653,838,8
543,944,8
519,942,11
668,557,10
1037,1233,9
333,1660,9
649,1612,23
744,1586,10
629,1546,13
464,1561,14
323,1587,8
118,1658,8
628,1686,13
1607,1581,24
1517,1570,9
1524,1555,8
1536,1648,9
1677,1640,13
943,1615,23
759,1654,21
300,1641,10
1427,1613,24
329,131,8
1033,686,8
1398,767,8
22,1335,8
1476,1633,24
1460,1666,10
1030,1575,8
1101,124,11
37,1612,11
